canonical	facet	parent_category	parent_source	provenance	confidence	aat_id	llm_note
acrylilc	material	(unrolled)	self	self	unrolled		
added fixative	material	(unrolled)	self	self	unrolled	300015134	
added pastel	material	(unrolled)	self	self	unrolled	300311039	
additional white chalk	material	(unrolled)	self	self	unrolled	300011727	
additions in blue pencil	material	(unrolled)	self	self	unrolled	300410335	
additions in red felt-tip pen	material	(unrolled)	self	self	unrolled		
adhered fabric swatch	material	(unrolled)	self	self	unrolled		
adhesive	material	(unrolled)	self	self	unrolled	300014801	
adhesive residue	material	(unrolled)	self	self	unrolled		
adhesive tape	material	(unrolled)	self	self	unrolled	300310136	
adobe	material	(unrolled)	self	self	unrolled	300081138	
affixed to cardboard mount.watercolor	material	(unrolled)	self	self	unrolled		
affixed to sketchbook page	material	(unrolled)	self	self	unrolled		
affixed to wood pulp cardboard.	material	(unrolled)	self	self	unrolled		
african starling bird	material	(unrolled)	self	self	unrolled		
agate ware	material	(unrolled)	self	self	unrolled	300263406	
agate?	material	(unrolled)	self	self	unrolled		
agneau	material	(unrolled)	self	self	unrolled		
airbrushed acrylic	material	(unrolled)	self	self	unrolled	300014426	
alabaster	material	(unrolled)	self	self	unrolled	300011101	
alaska seal	material	(unrolled)	self	self	unrolled		
albatros	material	(unrolled)	self	self	unrolled		
album	material	(unrolled)	self	self	unrolled		
album page	material	(unrolled)	self	self	unrolled		
album sheet	material	(unrolled)	self	self	unrolled		
albumen cabinet card	material	(unrolled)	self	self	unrolled		
albumen photograph	material	(unrolled)	self	self	unrolled		
alencon type	material	(unrolled)	self	self	unrolled	300233629	
alkaline-glazed stoneware	material	(unrolled)	self	self	unrolled	300010672	
alkyd	material	(unrolled)	self	self	unrolled		
alkyd enamel	material	(unrolled)	self	self	unrolled	300014910	
all 5 folders are enclosed in a parchment auvergne-lined jacket which is blindstamped	material	(unrolled)	self	self	unrolled		
all color	material	(unrolled)	self	self	unrolled	300131647	
all within an aluminum sculpted box that opens from both side	material	(unrolled)	self	self	unrolled	300010289	
all-over black lettering	material	(unrolled)	self	self	unrolled	300053342	
alpaca appliqué	material	(unrolled)	self	self	unrolled		
alpaca cloth	material	(unrolled)	self	self	unrolled	300162391	
alpaca plain weave	material	(unrolled)	self	self	unrolled		
alpaca yarn?	material	(unrolled)	self	self	unrolled		
alpaca?	material	(unrolled)	self	self	unrolled		
alternate warp yarn	material	(unrolled)	self	self	unrolled	300014252	
alternating block	material	(unrolled)	self	self	unrolled		
aluminium	material	(unrolled)	self	self	unrolled		
aluminum	material	(unrolled)	self	self	unrolled		
aluminum box	material	(unrolled)	self	self	unrolled		
aluminum coating	material	(unrolled)	self	self	unrolled	300014907	
aluminum mesh	material	(unrolled)	self	self	unrolled	300014654	
aluminum metal thread supplementary weft patterning	material	(unrolled)	self	self	unrolled	300248891	
aluminum metalpoint	material	(unrolled)	self	self	unrolled	300404633	
aluminum monolith	material	(unrolled)	self	self	unrolled		
aluminum plates included	material	(unrolled)	self	self	unrolled		
amaranth	material	(unrolled)	self	self	unrolled		
amaranth carcase veneered	material	(unrolled)	self	self	unrolled		
amaranth mounted	material	(unrolled)	self	self	unrolled		
amazonite	material	(unrolled)	self	self	unrolled		
amber	material	(unrolled)	self	self	unrolled	300012934	
amber bead	material	(unrolled)	self	self	unrolled	300261776	
amber colored composition or tortoise	material	(unrolled)	self	self	unrolled		
amber glas	material	(unrolled)	self	self	unrolled		
amber stick	material	(unrolled)	self	self	unrolled		
amber?	material	(unrolled)	self	self	unrolled		
amethyst?	material	(unrolled)	self	self	unrolled		
and crochet lace	material	(unrolled)	self	self	unrolled	300132861	
and gray wash	material	(unrolled)	self	self	unrolled	300011051	
and opaque watercolor	material	(unrolled)	self	self	unrolled		
and pastel	material	(unrolled)	self	self	unrolled	300311039	
and pen	material	(unrolled)	self	self	unrolled		
and under brown-gray ink wash	material	(unrolled)	self	self	unrolled	300011051	
and under pastel	material	(unrolled)	self	self	unrolled	300311039	
andesite	material	(unrolled)	self	self	unrolled	300011213	
angora jersey	material	(unrolled)	self	self	unrolled	300417884	
aniline dye	material	(unrolled)	self	self	unrolled	300013094	
animal bone	material	(unrolled)	self	self	unrolled	300011798	
animal claw	material	(unrolled)	self	self	unrolled		
animal teeth	material	(unrolled)	self	self	unrolled	300400467	
ankle tie	material	(unrolled)	self	self	unrolled	300391271	
anodized aluminum	material	(unrolled)	self	self	unrolled		
antelope	material	(unrolled)	self	self	unrolled		
antique egyptian green serpentine porphyry	material	(unrolled)	self	self	unrolled	300011232	
antler	material	(unrolled)	self	self	unrolled	300011796	
aplaca	material	(unrolled)	self	self	unrolled		
appended typewritten caption	material	(unrolled)	self	self	unrolled		
appleton greenmoor sandstone	material	(unrolled)	self	self	unrolled	300011376	
applied braid trim	material	(unrolled)	self	self	unrolled		
applied brass disk	material	(unrolled)	self	self	unrolled		
applied cordage	material	(unrolled)	self	self	unrolled		
applied cotton fringe	material	(unrolled)	self	self	unrolled	300227830	
applied cotton netting	material	(unrolled)	self	self	unrolled	300053637	
applied cowrie shell	material	(unrolled)	self	self	unrolled	300011829	
applied element	material	(unrolled)	self	self	unrolled		
applied fabric fringe	material	(unrolled)	self	self	unrolled	300227830	
applied felt badge	material	(unrolled)	self	self	unrolled		
applied fringe	material	(unrolled)	self	self	unrolled	300227830	
applied galloon	material	(unrolled)	self	self	unrolled	300231784	
applied glass bead	material	(unrolled)	self	self	unrolled	300261776	
applied gold chain	material	(unrolled)	self	self	unrolled		
applied gold sequin	material	(unrolled)	self	self	unrolled		
applied green silk strip	material	(unrolled)	self	self	unrolled		
applied jewel	material	(unrolled)	self	self	unrolled		
applied metal bell	material	(unrolled)	self	self	unrolled		
applied metal coin	material	(unrolled)	self	self	unrolled		
applied metal disk	material	(unrolled)	self	self	unrolled		
applied mirror	material	(unrolled)	self	self	unrolled	300037690	
applied mother-of-pearl button	material	(unrolled)	self	self	unrolled		
applied plaiting	material	(unrolled)	self	self	unrolled		
applied pom-pom	material	(unrolled)	self	self	unrolled		
applied pompom	material	(unrolled)	self	self	unrolled		
applied rib	material	(unrolled)	self	self	unrolled		
applied ribbon	material	(unrolled)	self	self	unrolled	300014668	
applied satin petal	material	(unrolled)	self	self	unrolled		
applied sequin	material	(unrolled)	self	self	unrolled		
applied shell	material	(unrolled)	self	self	unrolled	300011829	
applied shell button	material	(unrolled)	self	self	unrolled		
applied silk braid	material	(unrolled)	self	self	unrolled	300232186	
applied silk ribbon	material	(unrolled)	self	self	unrolled	300014668	
applied silver gilt	material	(unrolled)	self	self	unrolled		
applied silver sequin	material	(unrolled)	self	self	unrolled		
applied stick	material	(unrolled)	self	self	unrolled		
applied tassel	material	(unrolled)	self	self	unrolled	300232185	
applied threading	material	(unrolled)	self	self	unrolled	300233415	
applied tie	material	(unrolled)	self	self	unrolled	300391271	
applied velvet binding	material	(unrolled)	self	self	unrolled	300421867	
applied vitreous element	material	(unrolled)	self	self	unrolled		
applique linen	material	(unrolled)	self	self	unrolled	300014069	
appliquéd cotton net	material	(unrolled)	self	self	unrolled	300249438	
appliquéd guatamalan cotton paired-thread warp-resist dyeing	material	(unrolled)	self	self	unrolled	300053049	
appliquéd silk braid	material	(unrolled)	self	self	unrolled	300232186	
aqatint	material	(unrolled)	self	self	unrolled		
aqua blue pineapple fiber	material	(unrolled)	self	self	unrolled		
aqua silk damask	material	(unrolled)	self	self	unrolled	300163295	
aqua taffeta	material	(unrolled)	self	self	unrolled	300249434	
aqutint	material	(unrolled)	self	self	unrolled		
arabescato marble base	material	(unrolled)	self	self	unrolled	300237910	
arche	material	(unrolled)	self	self	unrolled		
arches canson	material	(unrolled)	self	self	unrolled		
arches la	material	(unrolled)	self	self	unrolled		
arches satine	material	(unrolled)	self	self	unrolled		
arches special	material	(unrolled)	self	self	unrolled		
architectural design	material	(unrolled)	self	self	unrolled	300054171	
archival color pigment inkjet	material	(unrolled)	self	self	unrolled		
archival inkjet	material	(unrolled)	self	self	unrolled		
archival pigmented inkjet	material	(unrolled)	self	self	unrolled		
argentan bobbin lace	material	(unrolled)	self	self	unrolled	300132861	
argentan lace	material	(unrolled)	self	self	unrolled	300132861	
argillite	material	(unrolled)	self	self	unrolled	300011276	
arista semi-matte fiber paper in linen clamshell box	material	(unrolled)	self	self	unrolled		
arjomari	material	(unrolled)	self	self	unrolled		
arp patterining	material	(unrolled)	self	self	unrolled		
artificial flower b) chiffon	material	(unrolled)	self	self	unrolled	300249449	
artificial leather upper	material	(unrolled)	self	self	unrolled	300010291	
artificial leave	material	(unrolled)	self	self	unrolled		
artificial orange blossom	material	(unrolled)	self	self	unrolled		
artificial pearl	material	(unrolled)	self	self	unrolled	300011827	
artificial rose	material	(unrolled)	self	self	unrolled	300266244	
artificial stone	material	(unrolled)	self	self	unrolled	300010788	
artificial tortoiseshell stick	material	(unrolled)	self	self	unrolled		
artificial violet	material	(unrolled)	self	self	unrolled	300130602	
artist in yellow	material	(unrolled)	self	self	unrolled	300127794	
artist's book	material	(unrolled)	self	self	unrolled		
artist's measurement	material	(unrolled)	self	self	unrolled		
artist's proof	material	(unrolled)	self	self	unrolled		
artists' book	material	(unrolled)	self	self	unrolled		
ash	material	(unrolled)	self	self	unrolled	300011786	
ash-wood	material	(unrolled)	self	self	unrolled		
asphalt	material	(unrolled)	self	self	unrolled	300012966	
asphaltum	material	(unrolled)	self	self	unrolled	300013342	
asphaltum smear	material	(unrolled)	self	self	unrolled		
astrakan	material	(unrolled)	self	self	unrolled		
athletic tape	material	(unrolled)	self	self	unrolled	300014685	
attached wool fringe	material	(unrolled)	self	self	unrolled	300227830	
audio tape	material	(unrolled)	self	self	unrolled	300014685	
aulfoil	material	(unrolled)	self	self	unrolled		
author in green	material	(unrolled)	self	self	unrolled	300128438	
autochrome	material	(unrolled)	self	self	unrolled		
autograph additions in graphite	material	(unrolled)	self	self	unrolled	300011098	
azurite	material	(unrolled)	self	self	unrolled	300013184	
b genoa or english bobin guipure lace	material	(unrolled)	self	self	unrolled	300132861	
b) graphite	material	(unrolled)	self	self	unrolled	300011098	
b) jade cup	material	(unrolled)	self	self	unrolled		
b) nephrite cup	material	(unrolled)	self	self	unrolled		
b) shell	material	(unrolled)	self	self	unrolled	300011829	
b/w	material	(unrolled)	self	self	unrolled		
baby ruth candy wrapper	material	(unrolled)	self	self	unrolled		
back in black	material	(unrolled)	self	self	unrolled	300130920	
back: cotton tabby	material	(unrolled)	self	self	unrolled	300010423	
back: silk tabby	material	(unrolled)	self	self	unrolled	300010423	
background	material	(unrolled)	self	self	unrolled	300056369	
badie dye	material	(unrolled)	self	self	unrolled	300013029	
baked clay	material	(unrolled)	self	self	unrolled	300010439	
baked porcelain enamel	material	(unrolled)	self	self	unrolled	300014910	
bakelite	material	(unrolled)	self	self	unrolled	300014544	
baketry	material	(unrolled)	self	self	unrolled		
balanced plain weave	material	(unrolled)	self	self	unrolled		
balanced plain weave lining	material	(unrolled)	self	self	unrolled	300162124	
baleen - whale	material	(unrolled)	self	self	unrolled		
baleen stay	material	(unrolled)	self	self	unrolled		
ball	material	(unrolled)	self	self	unrolled		
ball point pen	material	(unrolled)	self	self	unrolled		
ball point pen by the artist	material	(unrolled)	self	self	unrolled		
ball-point pen studie	material	(unrolled)	self	self	unrolled		
ballpoint pen	material	(unrolled)	self	self	unrolled		
bamboo bast fiber	material	(unrolled)	self	self	unrolled		
bamboo bead	material	(unrolled)	self	self	unrolled	300261776	
bamboo fiber	material	(unrolled)	self	self	unrolled		
bamboo frame	material	(unrolled)	self	self	unrolled		
bamboo handle	material	(unrolled)	self	self	unrolled		
bamboo stick	material	(unrolled)	self	self	unrolled		
banana	material	(unrolled)	self	self	unrolled		
banana fiber	material	(unrolled)	self	self	unrolled		
banana leave	material	(unrolled)	self	self	unrolled		
banana sheath fiber	material	(unrolled)	self	self	unrolled		
banboo	material	(unrolled)	self	self	unrolled		
baobab nut	material	(unrolled)	self	self	unrolled		
bar weave	material	(unrolled)	self	self	unrolled		
bark cloth	material	(unrolled)	self	self	unrolled	300048116	
bark fiber	material	(unrolled)	self	self	unrolled		
barnacle	material	(unrolled)	self	self	unrolled		
basalt	material	(unrolled)	self	self	unrolled	300011222	
basalt ware	material	(unrolled)	self	self	unrolled	300244578	
basaltes ware	material	(unrolled)	self	self	unrolled	300244578	
base	material	(unrolled)	self	self	unrolled	300237910	
base metal fastener	material	(unrolled)	self	self	unrolled		
basse-taille enamel	material	(unrolled)	self	self	unrolled	300014910	
basse-taille enameled	material	(unrolled)	self	self	unrolled		
basswood	material	(unrolled)	self	self	unrolled		
bast fiber lining	material	(unrolled)	self	self	unrolled	300162124	
batiste or linen	material	(unrolled)	self	self	unrolled	300014069	
battenberg lace	material	(unrolled)	self	self	unrolled	300256578	
battenberg machine-made tape lace	material	(unrolled)	self	self	unrolled	300132861	
beaded chenille fringe.	material	(unrolled)	self	self	unrolled		
beaded fringe	material	(unrolled)	self	self	unrolled	300227830	
beaded satin	material	(unrolled)	self	self	unrolled	300132902	
beaded silk net	material	(unrolled)	self	self	unrolled	300249438	
beaded silk net fringe	material	(unrolled)	self	self	unrolled	300227830	
beaded silk tulle	material	(unrolled)	self	self	unrolled	300256611	
beads slip: silk charmeuse	material	(unrolled)	self	self	unrolled	300417872	
beanwood	material	(unrolled)	self	self	unrolled		
bear gras	material	(unrolled)	self	self	unrolled		
beargras	material	(unrolled)	self	self	unrolled		
beaten indigo	material	(unrolled)	self	self	unrolled	300013055	
beauvais silk tapestry	material	(unrolled)	self	self	unrolled	300061981	
beaver felt	material	(unrolled)	self	self	unrolled	300014107	
beaver fur collar	material	(unrolled)	self	self	unrolled		
beaver fur felt	material	(unrolled)	self	self	unrolled	300014107	
beaver plush	material	(unrolled)	self	self	unrolled	300227875	
bed ticking	material	(unrolled)	self	self	unrolled	300227910	
bee colony	material	(unrolled)	self	self	unrolled		
beech carcase	material	(unrolled)	self	self	unrolled		
beechwood	material	(unrolled)	self	self	unrolled		
beeswax	material	(unrolled)	self	self	unrolled	300014588	
beiderwand woven double cloth	material	(unrolled)	self	self	unrolled	300162391	
beige & white wool tweed	material	(unrolled)	self	self	unrolled	300132867	
beige chine applique	material	(unrolled)	self	self	unrolled		
beige cloth	material	(unrolled)	self	self	unrolled	300162391	
beige linen	material	(unrolled)	self	self	unrolled	300014069	
beige linen covered board	material	(unrolled)	self	self	unrolled		
beige morocco	material	(unrolled)	self	self	unrolled		
beige plush	material	(unrolled)	self	self	unrolled	300227875	
beige satin	material	(unrolled)	self	self	unrolled	300132902	
beige silk crepe	material	(unrolled)	self	self	unrolled	300183741	
beige silk shantung	material	(unrolled)	self	self	unrolled		
beige slip	material	(unrolled)	self	self	unrolled	300010459	
beige snakeskin	material	(unrolled)	self	self	unrolled		
beige wrapper	material	(unrolled)	self	self	unrolled		
belgian bobbin lace	material	(unrolled)	self	self	unrolled	300132861	
belgian bobbin lace or lille	material	(unrolled)	self	self	unrolled		
belgian lace	material	(unrolled)	self	self	unrolled	300132861	
belgian or spanish silver crown	material	(unrolled)	self	self	unrolled	300265463	
belgium point de gaze lace	material	(unrolled)	self	self	unrolled	300132861	
bell	material	(unrolled)	self	self	unrolled		
berrie	material	(unrolled)	self	self	unrolled		
beverage menu	material	(unrolled)	self	self	unrolled		
bfk rive	material	(unrolled)	self	self	unrolled		
bias tape	material	(unrolled)	self	self	unrolled	300421626	
bichrome ware	material	(unrolled)	self	self	unrolled	300380486	
binche lace	material	(unrolled)	self	self	unrolled	300132861	
binche or valenciennes lace	material	(unrolled)	self	self	unrolled	300132861	
binder stamp	material	(unrolled)	self	self	unrolled		
binder's stamp	material	(unrolled)	self	self	unrolled		
binders label pasted	material	(unrolled)	self	self	unrolled		
binding stamped lower right	material	(unrolled)	self	self	unrolled	300078823	
bingo card	material	(unrolled)	self	self	unrolled		
birchbark	material	(unrolled)	self	self	unrolled		
bird	material	(unrolled)	self	self	unrolled		
bird bone	material	(unrolled)	self	self	unrolled	300011798	
bird claw	material	(unrolled)	self	self	unrolled		
bird head	material	(unrolled)	self	self	unrolled		
bird wing	material	(unrolled)	self	self	unrolled		
bird's skull	material	(unrolled)	self	self	unrolled		
birdseye	material	(unrolled)	self	self	unrolled		
birdseye pique	material	(unrolled)	self	self	unrolled		
bisen ware	material	(unrolled)	self	self	unrolled	300244578	
bistre pen	material	(unrolled)	self	self	unrolled		
bitumen	material	(unrolled)	self	self	unrolled	300012976	
bituminous limestone	material	(unrolled)	self	self	unrolled	300011286	
black	material	(unrolled)	self	self	unrolled	300130920	
black & gold sequin	material	(unrolled)	self	self	unrolled		
black & white chalk	material	(unrolled)	self	self	unrolled	300011727	
black acrylic	material	(unrolled)	self	self	unrolled	300014426	
black ballpoint pen	material	(unrolled)	self	self	unrolled		
black bead	material	(unrolled)	self	self	unrolled	300261776	
black book cloth	material	(unrolled)	self	self	unrolled	300162391	
black cashmere jacket	material	(unrolled)	self	self	unrolled		
black chalk accented	material	(unrolled)	self	self	unrolled		
black chalk along margin	material	(unrolled)	self	self	unrolled		
black chalk counterproof	material	(unrolled)	self	self	unrolled		
black chalk heightened	material	(unrolled)	self	self	unrolled		
black chalk highlighted	material	(unrolled)	self	self	unrolled		
black chalk in flecked beige laid paper affixed to paper backing	material	(unrolled)	self	self	unrolled	300227764	
black chalk under	material	(unrolled)	self	self	unrolled		
black chalk under black conte crayon	material	(unrolled)	self	self	unrolled		
black chalk under brown ink wash	material	(unrolled)	self	self	unrolled	300011051	
black chalk under brush	material	(unrolled)	self	self	unrolled		
black chalk under pastel	material	(unrolled)	self	self	unrolled	300311039	
black chalk under pen	material	(unrolled)	self	self	unrolled		
black chalk under red chalk	material	(unrolled)	self	self	unrolled	300011727	
black chalk under sanguine	material	(unrolled)	self	self	unrolled		
black chalk under two tone	material	(unrolled)	self	self	unrolled	300056173	
black chalk underdrawng	material	(unrolled)	self	self	unrolled		
black chiffon	material	(unrolled)	self	self	unrolled	300249449	
black chlak	material	(unrolled)	self	self	unrolled		
black clay	material	(unrolled)	self	self	unrolled	300010439	
black cloth	material	(unrolled)	self	self	unrolled	300162391	
black cloth bound book	material	(unrolled)	self	self	unrolled		
black cloth spine	material	(unrolled)	self	self	unrolled		
black cloth ties at 3 side	material	(unrolled)	self	self	unrolled	300010289	
black color	material	(unrolled)	self	self	unrolled	300131647	
black colored pencil	material	(unrolled)	self	self	unrolled	300410335	
black conte crayon	material	(unrolled)	self	self	unrolled		
black continuing	material	(unrolled)	self	self	unrolled		
black conté	material	(unrolled)	self	self	unrolled		
black conté crayon	material	(unrolled)	self	self	unrolled		
black cotton cloth ties at right edge	material	(unrolled)	self	self	unrolled		
black cotton handle	material	(unrolled)	self	self	unrolled		
black craton glaze	material	(unrolled)	self	self	unrolled	300015091	
black crayon additions by the artist	material	(unrolled)	self	self	unrolled		
black crayon heightened	material	(unrolled)	self	self	unrolled		
black crayon or chalk	material	(unrolled)	self	self	unrolled	300011727	
black crayon under black ink wash	material	(unrolled)	self	self	unrolled	300011051	
black crayon under brush	material	(unrolled)	self	self	unrolled		
black crayon under pen	material	(unrolled)	self	self	unrolled		
black crepe	material	(unrolled)	self	self	unrolled	300183741	
black crepe acetate	material	(unrolled)	self	self	unrolled		
black crepe de chine	material	(unrolled)	self	self	unrolled		
black crinkle nylon or polyester	material	(unrolled)	self	self	unrolled	300014546	
black cut velvet	material	(unrolled)	self	self	unrolled	300133711	
black embroidered silk net	material	(unrolled)	self	self	unrolled	300249438	
black embroidered silk satin	material	(unrolled)	self	self	unrolled	300132902	
black embroidered silk tulle	material	(unrolled)	self	self	unrolled	300256611	
black enamel ground	material	(unrolled)	self	self	unrolled	300015297	
black felt marker	material	(unrolled)	self	self	unrolled		
black felt tip pen	material	(unrolled)	self	self	unrolled		
black felt-tip pen	material	(unrolled)	self	self	unrolled		
black fiber	material	(unrolled)	self	self	unrolled		
black from 3 block	material	(unrolled)	self	self	unrolled		
black from 4 block	material	(unrolled)	self	self	unrolled		
black glass bugle	material	(unrolled)	self	self	unrolled		
black glaze	material	(unrolled)	self	self	unrolled	300015091	
black graphite	material	(unrolled)	self	self	unrolled	300011098	
black grease crayon	material	(unrolled)	self	self	unrolled		
black grosgrain	material	(unrolled)	self	self	unrolled		
black hard ground	material	(unrolled)	self	self	unrolled	300015297	
black hardground	material	(unrolled)	self	self	unrolled		
black heavy silk twill	material	(unrolled)	self	self	unrolled	300227915	
black ink addition	material	(unrolled)	self	self	unrolled		
black ink border	material	(unrolled)	self	self	unrolled		
black ink flow pen	material	(unrolled)	self	self	unrolled		
black ink heightened	material	(unrolled)	self	self	unrolled		
black ink illustration	material	(unrolled)	self	self	unrolled	300054200	
black ink inscription	material	(unrolled)	self	self	unrolled		
black ink rubbing	material	(unrolled)	self	self	unrolled	300178924	
black ink under graphite	material	(unrolled)	self	self	unrolled	300011098	
black ink under watercolor	material	(unrolled)	self	self	unrolled		
black ink wash	material	(unrolled)	self	self	unrolled	300011051	
black ink wash mixed	material	(unrolled)	self	self	unrolled		
black ink à la poupée	material	(unrolled)	self	self	unrolled		
black jersey	material	(unrolled)	self	self	unrolled	300417884	
black knit nylon	material	(unrolled)	self	self	unrolled	300014462	
black label	material	(unrolled)	self	self	unrolled		
black lace	material	(unrolled)	self	self	unrolled	300132861	
black lace yoke	material	(unrolled)	self	self	unrolled		
black lacquer	material	(unrolled)	self	self	unrolled	300014916	
black leather case	material	(unrolled)	self	self	unrolled		
black leather trim	material	(unrolled)	self	self	unrolled		
black linen	material	(unrolled)	self	self	unrolled	300014069	
black lizard	material	(unrolled)	self	self	unrolled		
black machine made tatting	material	(unrolled)	self	self	unrolled	300053641	
black machine-made leavers lace	material	(unrolled)	self	self	unrolled	300132861	
black marker	material	(unrolled)	self	self	unrolled		
black moire silk gros de tour	material	(unrolled)	self	self	unrolled		
black morocco binding	material	(unrolled)	self	self	unrolled	300421867	
black morocco leather onlay	material	(unrolled)	self	self	unrolled		
black morocco leather trim	material	(unrolled)	self	self	unrolled		
black morocco spine	material	(unrolled)	self	self	unrolled		
black net	material	(unrolled)	self	self	unrolled	300249438	
black opaque watercolor	material	(unrolled)	self	self	unrolled		
black panne	material	(unrolled)	self	self	unrolled		
black paper mounting corner	material	(unrolled)	self	self	unrolled	300010275	
black pastel	material	(unrolled)	self	self	unrolled	300311039	
black pastel crayon	material	(unrolled)	self	self	unrolled		
black patina	material	(unrolled)	self	self	unrolled	300065245	
black pen	material	(unrolled)	self	self	unrolled		
black pencil	material	(unrolled)	self	self	unrolled	300410335	
black pigment	material	(unrolled)	self	self	unrolled	300013135	
black plastic	material	(unrolled)	self	self	unrolled	300014570	
black plastic button	material	(unrolled)	self	self	unrolled		
black pleated silk crepe	material	(unrolled)	self	self	unrolled	300183741	
black polyester	material	(unrolled)	self	self	unrolled	300014546	
black polyester leatherette	material	(unrolled)	self	self	unrolled		
black porous-point pen	material	(unrolled)	self	self	unrolled		
black rayon	material	(unrolled)	self	self	unrolled	300014059	
black satin	material	(unrolled)	self	self	unrolled	300132902	
black satin bow	material	(unrolled)	self	self	unrolled		
black satin damask	material	(unrolled)	self	self	unrolled	300163295	
black satin lapel	material	(unrolled)	self	self	unrolled		
black satin lining	material	(unrolled)	self	self	unrolled	300162124	
black satin tie	material	(unrolled)	self	self	unrolled	300391271	
black sequinned lace	material	(unrolled)	self	self	unrolled	300132861	
