token	count	facet_final	facet_source	canonical_final	aat_id	embedding_suggestion	embedding_similarity	note
gelatin silver prints	69	technique	rule	gelatin silver				
line	69	not_medium	llm	line		lined	0.684	too ambiguous; likely layout/condition descriptor in context
straw	68	material	llm	straw		straw-board	0.783	
taffeta	68	material	variant	taffeta	300249434	taffeta	1.0	
felt	68	material	rule	felt				
color pochoir	68	technique	rule	pochoir				
hardboard	67	material	aat	hardboard	300014203			
rhinestones	67	material	aat	rhinestone	300010806			
hand color	66	technique	llm	hand colouring		pigment, black	0.635	manual colourisation technique
mixed media	66	material	variant	mixed media	300163347	mixed media	1.0	
chromolithograph	66	technique	rule	chromolithograph				
mother-of-pearl	65	material	aat	mother-of-pearl	300011835			
sheep's wool or camelid hair	65	material	rule	sheep's wool or camelid hair				
gray wash	65	material	rule	gray wash				
cream wove paper	64	support	rule	cream wove paper				
string	63	material	llm	string		string (fiber product)	0.636	
cardboard	63	material	aat	cardboard	300014224			
vidalon rives wove paper	63	support	rule	vidalon rives wove paper				
pressed lead glass	63	material	rule	pressed lead glas				
aquatints	63	technique	rule	aquatint				
mahogany	63	material	rule	mahogany				
wire	62	material	llm	wire		wire rope	0.735	
mounted	62	technique	variant	mounted	300081370	mounted	1.0	
sumi ink	62	material	rule	sumi ink				
gampi paper chine colle	62	support	rule	gampi paper chine colle				
photomechanical process reproduction	61	technique	llm	photomechanical reproduction		photomechanical reproduction (process)	0.974	collapsed to canonical
photomechanical relief process reproduction	61	technique	llm	photomechanical relief printing		relief photomechanical process	0.942	"collapsed to canonical; ""reproduction"" redundant"
platinum print	61	technique	rule	platinum				
india ink	61	material	rule	india ink				
goyu paper	61	support	rule	goyu paper				
handcolored etching	61	technique	rule	etching				
vellum	61	material	rule	vellum				
screenless color offset lithograph	60	technique	rule	screenless color offset lithograph				
cream antique laid paper	60	support	rule	cream antique laid paper				
colored pencil drawing	60	technique	rule	pencil drawing				
cut-outs	59	technique	llm	cut-out		block-out	0.582	
cut	59	technique	llm	cutting		cutting, die	0.754	
chromolithographs	59	technique	rule	chromolithograph				
cream laid paper	59	support	rule	cream laid paper				
silk taffeta	59	material	rule	silk taffeta				
gampi paper chine collé	59	support	rule	gampi paper chine collé				
pewter	59	material	rule	pewter				
walrus tusk	58	material	llm	walrus ivory		walrus ivory	0.676	tusk = ivory in material terms
applique	58	technique	llm	appliqué		textli	0.476	surface embellishment technique
parchment	58	material	rule	parchment				
paper mounted	58	support	rule	paper mounted				
double-sided ink	58	material	rule	double-sided ink				
selenium-toned gelatin silver print	58	technique	rule	selenium-toned gelatin silver				
gauze	57	material	variant	gauze	300014083	gauze	1.0	
fabric	57	material	llm	fabric		fabric, mesh	0.848	
point de gaze lace	57	material	llm	point de gaze		angleterre lace	0.659	specific Brussels needle lace type; material
ostrich feathers	57	material	llm	ostrich feather		ostrich eggshell	0.759	
metal ring	57	material	llm	metal ring		metal	0.746	structural binding component; material facet
sugar-lift aquatint	57	technique	aat	sugar-lift aquatint	300190346			
heliogravure	57	technique	rule	heliogravure				
printed cotton	57	technique	rule	printed cotton				
silk chiffon	57	material	rule	silk chiffon				
soap ground	56	technique	llm	soap-ground etching		soap (brick)	0.727	etching ground variant
china paper	56	material	aat	china paper	300183651			
ivory handmade paper	56	material	rule	ivory handmade paper				
shidzuoka japanese paper	56	support	rule	shidzuoka japanese paper				
archival pigment print	56	technique	rule	archival pigment				
weft-faced plain weave	55	technique	llm	weft-faced plain weave		weft-loop weave	0.79	weave structure variant
stipple	55	technique	variant	stipple	300053378	stipple	1.0	
color soft-ground etching	55	technique	rule	soft-ground etching				
vintage gelatin silver print	55	technique	rule	vintage gelatin silver				
metallic pigments	54	material	llm	metallic pigment		pigments	0.799	
chalk	54	material	aat	chalk	300011727			
blue paper	54	material	aat	blue paper	300417192			
tin-glazed earthenware	54	material	rule	tin-glazed earthenware				
gold-toned albumen silver print from a collodion negative	54	technique	rule	gold-toned albumen silver print from a collodion negative				
possible additional hand coloring	54	technique	rule	possible additional hand coloring				
blue pencil	54	material	rule	blue pencil				
fur	53	material	embedding	fur		fur (hair material)	0.806	
rattan	53	material	variant	rattan	300011865	rattan	1.0	
rives bfk	53	material	llm	rives bfk		bisk	0.512	brand-name printmaking paper; support-adjacent but classed as material per TMS use
baxter process	53	technique	llm	baxter proces		beadworking (process)	0.565	colour wood-engraving + lithography process invented by George Baxter; hint wrong
montval paper	53	support	rule	montval paper				
wood-engraving	53	technique	rule	wood-engraving				
mounted albumen silver print	53	technique	rule	mounted albumen silver				
silk ribbon	53	material	rule	silk ribbon				
spitbite	52	technique	variant	spitbite	300179725	spitbite	1.0	
mountie matte paper	52	support	rule	mountie matte paper				
etching printed	52	technique	rule	etching printed				
color metal relief print	52	technique	rule	metal relief				
color woodcut reproduction	52	technique	rule	woodcut reproduction				
fringe	51	material	variant	fringe	300227830	fringe	1.0	
four color	51	technique	llm_shaky	four-colour proces		pigment, green	0.611	printing colour-separation method
color engraving printed from lead plate	51	technique	rule	engraving printed from lead plate				
linoleum cut	51	technique	rule	linoleum cut				
sepia ink	51	material	rule	sepia ink				
hand-colored albumen silver print	51	technique	rule	albumen silver				
double page	51	not_medium	llm	double page		double printing	0.6	bibliographic/layout descriptor
sugarlift aquatint	50	technique	rule	sugarlift aquatint				
etching printed in brown ink	50	technique	rule	etching printed in brown ink				
hand-colored albumen print	50	technique	rule	albumen				
working proof	50	not_medium	llm	working proof		counter-prove (printing)	0.511	proof-state/bibliographic descriptor
eccentric wefts	49		unresolved	eccentric weft		weft-patterned	0.506	
burnisher	49	technique	embedding	burnisher		burning	0.718	
pigments	49	material	variant	pigment	300013109	pigments	1.0	
bobbin lace	49	material	variant	bobbin lace	300132869	bobbin lace	1.0	
gesso	49	material	variant	gesso	300014952	gesso	1.0	
gilt bronze	49	material	rule	gilt bronze				
photographs	49	technique	variant	photograph		photographic	0.839	
free-blown glass	48	material	aat	free-blown glas	300233425			
relief halftone	48	technique	embedding	relief halftone		halftone, relief (process)	0.851	
complex weave	48	material	embedding	complex weave		simple weave	0.865	
synthetic	48	material	embedding	synthetic		paper, synthetic	0.766	
green	48	material	embedding	green		pigment, green	0.797	
glass seed beads	48	material	rule	glass seed bead				
resist dyeing	47	technique	variant	resist dyeing	300053053	resist dyeing	1.0	
silk gros de tours	47	material	rule	silk gros de tour				
stumping	46	technique	variant	stumping	300053412	stumping	1.0	
cowrie shells	46	material	aat	cowrie shell	300011834			
metallic paint	46	material	aat	metallic paint	300183841			
graphite underdrawing	46	technique	rule	graphite underdrawing				
original drawing	46	technique	rule	original drawing				
woodblock print	46	technique	rule	woodblock				
acetate	45	material	embedding	acetate		acetate, amyl	0.82	
white photograph	45	technique	embedding	white photograph		black and white photography	0.711	
folded sheet	45	technique	embedding	folded sheet		folded	0.737	
gray	45	colour	llm_shaky	grey		blue black	0.681	bare colour word; British spelling
wax	45	material	aat	wax	300014585			
fabriano paper	45	support	rule	fabriano paper				
overglaze painting	45	material	rule	overglaze painting				
ink wash	45	material	rule	ink wash				
quilted	44	technique	variant	quilted	300053656	quilted	1.0	
color spit bite	44	technique	variant	spit bite	300179725	spit bite	1.0	
two books bounded together.	44	technique	embedding	books bounded together.		binding of books	0.733	
calendered rives bfk paper	44	support	rule	calendered rives bfk paper				
bfk rives wove paper	44	support	rule	bfk rives wove paper				
inkjet print	44	technique	rule	inkjet				
white arches paper	44	support	rule	white arches paper				
cream wove montval paper	44	support	rule	cream wove montval paper				
wood engraving.	44	technique	rule	wood engraving.				
eyelet embroidery	44	technique	rule	eyelet embroidery				
chantilly lace	43	material	variant	chantilly lace	300264619	chantilly lace	1.0	
color soap ground	43	material	embedding	soap ground		soap (brick)	0.727	
thread	43	material	variant	thread	300014250	thread	1.0	
silk tassel	43	material	rule	silk tassel				
bfk rives hand-made paper	43	support	rule	bfk rives hand-made paper				
arches cover paper	43	support	rule	arches cover paper				
color sugar lift	42	technique	variant	sugar lift	300190346	sugar lift	1.0	
hair	42	material	embedding	hair		human hair	0.812	
tulle	42	material	embedding	tulle		tulle (meshed textile)	0.721	
hide	42	material	llm_shaky	hide		glue, hide	0.652	animal skin as material
blown glass	42	material	aat	blown glas	300010832			
offset printed reproduction	42	technique	rule	offset printed reproduction				
walnut	42	material	rule	walnut				
aquatint etching	42	technique	rule	aquatint etching				
rives heavyweight paper	42	support	rule	rives heavyweight paper				
color linocut	42	technique	rule	linocut				
metallic threads	42	material	variant	metallic thread		metallic thread	0.966	
heightened	41	technique	variant	heightened	300053418	heightened	1.0	
barkcloth	41	material	embedding	barkcloth		bark cloth	0.91	
mica	41	material	embedding	mica		mica, potash	0.793	
van gelder zonen paper	41	support	rule	van gelder zonen paper				
zirkall litho paper	41	support	rule	zirkall litho paper				
red ink	41	material	rule	red ink				
aquatint printed chine collé	41	technique	rule	aquatint printed chine collé				
verso	40	not_medium	rule	verso		vellucent	0.544	
photomechanically reproduced image	40	technique	embedding	photomechanically reproduced image		photo-mechanical reproduction (process)	0.737	
torn edges	40	technique	embedding	torn edge		torn	0.711	
photolithograph	40	technique	rule	photolithograph				
color woodcut surimono	40	technique	rule	woodcut surimono				
curtis brightwater cover paper	40	support	rule	curtis brightwater cover paper				
printed chine collé	40	technique	rule	printed chine collé				
color stipple engraving	40	technique	rule	stipple engraving				
brown paper	40	support	rule	brown paper				
color mezzotint	40	technique	rule	mezzotint				
slit-tapestry weave	40	technique	variant	slit tapestry weave		slit tapestry	0.917	
copper alloy	39	material	aat	copper alloy	300010942			
spit bite aquatints	39	technique	rule	spit bite aquatint				
toned gelatin silver print	39	technique	rule	toned gelatin silver				
copperplate deluxe paper	39	material	rule	copperplate deluxe paper				
cast bronze	39	technique	rule	cast bronze				
wove lafuma paper	39	support	rule	wove lafuma paper				
silk net	39	material	rule	silk net				
the novel printed by color offset lithography	39	not_medium	rule	the novel printed by color offset lithography				
stencil color	39	technique	rule	stencil color				
arches 88 paper	39	support	rule	arches 88 paper				
silk lining	39	material	rule	silk lining				
gilt metal	38	material	embedding	gilt metal		gilt silver	0.834	
front cover	38	not_medium	rule	front		back-lined	0.574	
white wove paper	38	support	rule	white wove paper				
screen printed	38	technique	rule	screen printed				
brass ring	38	material	rule	brass ring				
photolithograph reproduction after a pen drawing	38	technique	rule	photolithograph reproduction after a pen drawing				
hahnemuhle paper	38	support	rule	hahnemuhle paper				
etching-engraving	38	technique	rule	etching-engraving				
valenciennes lace	37	material	variant	valenciennes lace	300132890	valenciennes lace	1.0	
prepared plate mark	37	not_medium	llm_shaky	prepared plate mark		<plate by material>	0.672	physical-state/condition descriptor
chenille	37	material	embedding	chenille		chenille thread	0.777	
xerograph	37	technique	embedding	xerograph		xerography	0.751	
horn	37	material	embedding	horn		horn silver	0.805	
color softground	37	material	embedding	softground		hardground	0.884	
silk crepe	37	material	rule	silk crepe				
discontinuous supplementary-weft patterning	37	material	rule	discontinuous supplementary-weft patterning				
drawings	37	technique	rule	drawing				
monoprint	37	technique	rule	monoprint				
thin paper mounted	37	support	rule	thin paper mounted				
mother-of-pearl sticks	37	material	rule	mother-of-pearl stick				
baleen	36	material	variant	baleen	300192974	baleen	1.0	
yarn	36	material	aat	yarn	300014252			
plywood	36	material	aat	plywood	300012849			
double page spread	36		unresolved	double page spread		double-printing	0.508	
yellow	36	material	embedding	yellow		new yellow	0.851	
embroidered	36	technique	variant	embroidered	300053653	embroidered	1.0	
rivet	36	technique	embedding	rivet		riveted	0.88	
arches aquarelle rag paper	36	support	rule	arches aquarelle rag paper				
colored wash	36	material	rule	wash				
wrought iron	36	material	rule	wrought iron				
white linen	36	material	rule	white linen				
color c print	36	technique	rule	c				
offset lithograph prints	36	technique	rule	offset lithograph				
albumen silver print stereographic card	36	technique	rule	albumen silver print stereographic card				
35 photoetchings	36	technique	rule	photoetching				
cream laid paper prepared	36	support	rule	cream laid paper prepared				
typographic print	35	technique	aat	typographic	300195853			
text	35	not_medium	llm_shaky	text		typography	0.61	layout/bibliographic descriptor
offset reproduction	35	technique	llm_shaky	photo-offset		offset duplicating	0.651	offset lithographic reproduction process
lime	35	material	embedding	lime		lime white	0.852	
bound book	35	technique	embedding	bound book		books, binding of	0.741	
camelid hair	35	material	variant	camelid hair	300411647	camelid hair	1.0	
bast fiber	35	material	variant	bast fiber	300048153	bast fiber	1.0	
spitbite aquatint etching	35	technique	rule	spitbite aquatint etching				
marble base	35	material	rule	marble base				
hard paste porcelain	35	material	rule	hard paste porcelain				
alpaca	34	material	embedding	alpaca		alpaca (wool)	0.718	
photocopy	34	technique	embedding	photocopy		photocopying	0.975	
tassels	34	material	variant	tassel	300232185	tassels	1.0	
compound weave	34	material	variant	compound weave	300417499	compound weave	1.0	
sugar lift	34	technique	variant	sugar lift	300190346	sugar lift	1.0	
color spit-bite aquatint	34	technique	rule	spit-bite aquatint				
white cotton	34	material	rule	white cotton				
hand-coloring	34	technique	rule	hand-coloring				
handmade richard de bas paper	34	support	rule	handmade richard de bas paper				
color photoetching	34	technique	rule	photoetching				
ink drawing	34	technique	rule	ink drawing				
oak	34	material	rule	oak				
wool felt	34	material	rule	wool felt				
color hard ground etching	34	technique	rule	hard ground etching				
gray gouache ground	34	material	rule	gray gouache ground				
slit-tapestry	34	technique	variant	slit-tapestry		slit tapestry	0.961	
seventeen mounted albumen photographs	33	not_medium	llm_shaky	mounted albumen photograph		photographic plates	0.561	count-phrase object descriptor
