facet_value	facet	total_occurrences	member_terms	category_source	category_aat_id	members
cotton	material	1895	105	AAT	300014067	backing: cotton | beige cotton | beige knotted openweave cotton | black cotton | black crinkle cotton | blue chambray cotton | blue cotton | blue sprigged cotton | blue striped satin-faced cotton | brocaded cotton | brown crinkle cotton | brown/cream/rust cotton | c)black cotton | calico | commercial cotton | commerical cotton | corded cotton | cotton | cotton calico | cotton gingham | cotton muslin | cotton organdy | cream cotton | cream organdy | cream pique cotton | crocheted cotton | dimity | double weave cotton | dyed cotton | ecru cotton | embroidered cotton | embroidered cotton organdy | embroidered linen muslin | embroidered silk or cotton | fiber - cotton | fine cotton | fine white cotton | fine white muslin | gingham | glazed cotton | gold cotton | gold indonesian cotton | guatemelan cotton | hand knit cotton | hand painted cotton | hand woven striped cotton | hand-painted knitted cotton | hand-spun cotton | handpainted cotton | handspun cotton | ivory cotton | khaki cotton | knit cotton | knitted cotton | koch's types. paper is 100% cotton | lace trimmed organdy | linen or cotton | lining: cotton | loom-woven cotton | mask: cotton | mercerized cotton | metal-wrapped cotton | mixed cotton | multi b/w cotton | muslin | natural cotton | natural linen or cotton | off-white cotton | olive green cotton | organdy | painted cotton | paisley cotton | patterned cotton | petit point cotton | pieced cotton | pierced white cotton | pink cotton | plain-weave cotton | point de gaze lace. cotton | polychrome knitted cotton | quilted cotton | resist-dyed cotton | ribbed cotton | sheer cotton | silk embroidered linen or cotton | silk organdy | silk tarlatan | silk. cotton | striped cotton | tapestry weave cotton | tie-dyed cotton | undyed cotton | warp-resist dyeing lining: cotton | white cotton | white cotton dimity | white cotton muslin | white fine cotton | white knitted cotton | white muslin | white organdy | white silk organdy | white striped cotton | white woven stripe cotton | woven cotton | woven striped cotton
plant material	material	1734	129	AAT	300124117	applied seed | artificial flower | baltic birch plywood | bamboo | bamboo cane | bamboo reed | bark | basketry made from the stem | bast | bast fiber | bast fiber - bamboo | birch bark | black net. straw | black raffia | braided rattan | brown ikat raffia | brown raffia | camelid fiber | camwood bark | cedar bark | cedar root | charcoal | cherry bark | coconut bast | coconut husk | coconut shell | coiled straw | coix seed | commercial round reed | conifer root | cork | cotton flower | crinkle ramie | crocheted straw | embroidered synthetic plain weave flower | fiber | fiber - rattan | fiber - spruce root | fiber including bast | flax | flower | found vintage seed | gampi | girl scattering flower | hand woven hemp | handmade gampi | hardboard | hemlock bark | hemp | jeffrey pine root | jute | laminated plywood | madder root | mangrove root | metallic coated plastic seed | molded ash plywood | mulberry bark | mulberry root | multicolor cane | natural wood grain | oak veneer plywood | orange flower | orchid stem | organza flower | palm leaf | palm leaf reed | palm or bamboo | palm tree seed | paper pulp | patinated 3/8 inch woven rattan | patinated bamboo | pigment in artist-made pulp | pine bark | plant material | plastic flower | plywood | pod | polychrome bark | polychrome raffia flower | powdered camwood bark | pressed copper alloy metal flower | r: charcoal | raffia | ramie | rattan | reed | rhinestone flower | ribbon flower | root | sawdust | sedge root | seed | seed pod | sennit seed | silk flower | silk velvet flower | silk-wrapped metal flower stem | sisal | sitka spruce root | split cane | split rattan | spruce root | straw | stumped charcoal | synthetic raffia | synthetic straw | tobacco | tuscan straw | twisted string or sisal | velvet appliqué flower | velvet flower | wax flower | white charcoal | white ramie | wicker reed | wood bark | wood panel later transferred to hardboard | wood pulp | wove paper v: charcoal | wove paperv: charcoal | woven bamboo | woven bark | woven cane | woven golden rattan | woven raffia | woven rattan | woven reed | woven reed or cane | woven straw
precious metal	material	1592	51	AAT	300011054	14k gold | 24kt gold | air-brushed gold | applied gold | applied silver | binder stamp in gold | binder's stamp in gold | chased silver | diamonds set in gold | embossed silver | enamel & gold | enameled gold | engraved gold | engraved silver | etched silver | front endpaper leather stamped in gold | gelatin silver | gilded silver | gilt silver | gilt-wash sterling silver | gold | gold leaf | gold quartz in gold | hammered silver | hand hammered silver | initials in gold | lettering in gold | lettering stamped in gold | liquid gold | martele silver | metal - silver | metallic gold | old sheffield plate silver | overglaze gold | oxidized silver | parcel-gilt silver | pierced sterling silver | platinum | raised-paste gold | repousee silver | rosary: gold | ruby eyes set in gold | silver | silver gilt | silver washed in gold | spine in gold | spine: title in gold | title in gold | vari-colored gold | various colored gold | yellow gold
glass	material	1461	21	AAT	300010797	adobe like paste | applied crystal | applied gold paste | blown glas | clay based paste | crystal | cut crystal | free-blown glas | glas | glass paste | glass rhinestone | hard paste | lead crystal | plastic rhinestone | pressed lead glas | red glass paste | red rhinestone | rhinestone | rock crystal | spanish paste | swarovski crystal
porcelain	material	1297	32	AAT	300010662	biscuit porcelain | bone china | chinese celadon porcelain | chinese crackleware porcelain | chinese famille verte porcelain | chinese porcelain | commercial porcelain | crystaline glazed porcelain | dust-pressed porcelain | eggshell porcelain | enamel or porcelain | gilded porcelain | gilt decorated porcelain | gilt porcelain | glazed bisque porcelain | glazed porcelain | gold mounted porcelain | hand painted porcelain | hard paste porcelain | hard-paste biscuit porcelain | hard-paste porcelain | japanese kakiemon porcelain | parian porcelain | photo-silkscreened porcelain | polychrome painted porcelain | porcelain | saint cloud soft paste porcelain | soft paste porcelain | soft porcelain | soft-paste porcelain | solt-paste porcelain | unglazed porcelain
animal material	material	1274	231	AAT	300011793	alaska seal fur | alligator skin | alpaca hide | angel skin coral egg | angora | animal blood | animal fur | animal hair | animal hide | animal horn | animal skin | antelope horn | antelope skin | applied feather | architectural parchment | baleen | beaver fur | bird feather | bird quill | black faux fur | black monkey fur | blood | blue rabbit fur | boar bristle | boar's hair | bristle | brown pony fur | buffalo hide | buffalo horn | burned vellum | calf-skin or rabbit fur | callao bird beak | camaelid hair | cameild hair | camel hair | camelid hair | caribou fur | caribou hair | caribou hide | caribou horn | caribou skin | cassowary feather | chicken feather | chinchilla fur | coated polyester fleece | cock feather | cockatoo feather | copper plate engraved sheepskin | coq feather | cormorant feather | cotton fleece | cotton or camelid hair | covered in limp vellum | cow horn | cowhide | coyote fur | cucus fur | cuscus fur | dall sheep horn | deer hoof | deer sinew | deer skin | deerskin | doeskin | dog fur | dog hair | dog's hair | duck feather | dyed bird-of-paradise feather | dyed dog hair | dyed egret feather | dyed feather | dyed fox fur | dyed musk ox fur | dyed ostrich feather | dyed other feather | eagle feather | egg | egg white | egret feather | elephant hair | elephant hide | elk skin | emu egg | emu feather | emu or rhea feather | ermine fur | ewe fur | faux fur | faux snake skin | feather | fish skin | fisher fur | fleece | fox fur | fur | glass seed beads sewn to leather hide | glitter calf hair | goat hair | goat skin | goatskin | green lizard skin | guinea fowl feather | guinea hen feather | gut | hair | half parchment | hand-applied black color in the hair | heep's wool or camelid hair | hen feather | hide | horese hair | horn | hornbill beak | horse hair | horsehair | human hair | hyena skin | job's tear | kashmir goat hair | kidskin | kingfisher feather | lamb fur | lamb skin | leather - hide | leopard skin | lion skin | lizard skin | lynx pelt | macaw feather | mammal skin | marabou | marabou feather | mink fur | monitor lizard skin | monkey fur | monkey skin | mountain goat horn | musk ox horn | natural bristle | nutria fur | nylon horsehair | or other skin | orange rabbit fur pelt | organic bristle | ostrich feather | other feather | ox hide | painted animal hide | painted deer hide | panther pelt | paper or vellum | paradise feather | parakeet feather | parchment | parrot feather | peacock feather | pelt | pheasant feather | pheaseant feather | plastic vellum | polar bear skin | polyamide horsehair | porcupine quill | possibly goat hair | protective boards quarter bound in parchment | publisher's vellum | quarter parchment | quill | rabbit fur | rabbit or viscacha fur | rag vellum | rawhide | rayon faux fur | red guinea feather | reindeer horn | reindeer skin | reptile skin | rives vellum | rooster feather | sable fur | salmon skin | sea lion whisker | sea mammal fur | sea mammal sinew | sea mammal skin | sea otter fur | seal fur | seal gut | seal intestine or skin | seal skin | seal whisker | sealskin | shark skin | sheep' wool or camelid hair | sheep's wool or cameid hair | sheep's wool or cameild hair | sheep's wool or camelid hair | shep's wool or camelid hair | simulated lizard skin | sinew | snake skin | springbok horn | stag horn | stag's horn | stripped ostrich feather | swan's down feather | synthetic horsehair | teal fox fur | tortoise shell | transparent vellum | turkey feather | turtle shell | undyed animal skin | various other bird feather | veal skin | vellum | walrus hide | walrus skin | walrus whisker | water buffalo horn | whale baleen | whale sinew | whale skin | whisker | wolf hair | wool embroidered camel hair | wool or goat hair | wool. possibly camel hair | yak hair | yellow dyed fox fur
trim	material	1181	11	LLM-coined		bead | chenille | fringe | glass bead | glass seed bead | grosgrain | ribbon | sequin | silk ribbon | silk tassel | tassel
pigment	material	991	5	LLM-coined		green | metallic pigment | pigment | underglazed decorative motifs in blue | yellow
other material	material	914	14	LLM-coined		applied accessory object | hardground | lime | maize painting | mixed media | plaster | poster | silkscreen | soap ground | soft ground | softground | spine | wood engraved vignette | xerox toner
leather	material	793	129	AAT	300011845	a)pale yellow angora jersey b) silk c) leather | alligator leather | amber patent leather | applied leather | appliquéd leather | appliquéd suede | beaded buckskin | beaded leather | beige suede | black a-b) linen c) leather | black calf leather | black leather | black patent leather | black suede | black suede leather | black-silver-ombre leather | blue morocco leather | blue suede | bone glacé kid leather | book is bound in red leather | book is bound in the french tradition in hunter green leather | bound in black leather | bound in blue leather | bound in brown leather | bound in dark blue leather | bound in hunter green morocco leather | bound in maroon leather | bound in quarter leather | bound in red leather | bound in the japanese style in blue leather | braided leather | bronzed kid leather | bronzed leather | brown kid leather | brown leather | brown patterned calf | brown suede | buckskin | calf | chemise half-bound in black leather | chemise is half bound in black morocco leather | chemise is quarter bound in maroon leather | coral kid leather | dark gray suede | dyed leather | edged in black leather | edged in morocco leather | edging is covered in black leather | embossed faux leather | embossed leather | embroided suede | endpapers are tan leather | endpapers in tooled/gilt tan morocco leather | faux leather | fawn suede | fine binding in gray calf | fine binding in light gray suede | fine bound in burgandy morocco leather | french bound in maroon morocco leather | fringed buckskin | full calf | fur leather | gilded kid leather | gilded leather | glazed leather | gold kid leather | gold leather | gold textured leather | green calf leather | green leather | grey suede | half bound in black morocco leather | half bound in burgandy morracan leather | hand made paper. deepdene handset type. leather | hand-tooled leather | kid leather | leather | leather buckskin | light brown calf | lined in gray suede | maroon morocco leather | matching slipcase lined in suede | metallic leather | metallic-coated leather | olive suede | orange leather | outer edge are black leather | painted leather | paper covered slipcase trimmed in leather | patent leather | pebble leather | pieced patent leather | polychrome leather | polychrome suede leather | polyurethane resin faux leather | quarter bound in burgundy leather | quarter bound in caramel colored leather | quarter bound in dark green leather | quarter bound in green leather | quarter leather | red leather | red patent leather | red suede | reddish-brown calf leather | reverse appliquéd leather | seal leather | silk b) calf leather | silk b) leather | silver b) shagreen | silver leather | silver metallic leather | slip case is paper trimmed in leather | slipcase is pale blue calf leather | smooth leather | soiling leather | spine in white morocco leather | suede | suede leather | synthetic leather | tan leather | tanned pigskin leather | tooled leather | trimmed in black leather | trimmed in dark blue leather | white kid leather | white morocco leather | white suede | wood veneer slipcase edged in matching blue leather | woven leather
lace	material	675	5	AAT	300132861	bobbin lace | chantilly lace | lace | point de gaze | valenciennes lace
stone	material	658	98	AAT	300011176	agate | alabaster ceramic stone | amethyst | andesite stone | applied glass stone | artificial topaz | attached colored stone | basalt stone | beige tint stone | black onyx | black stone | black-brown stone | blue agate | bowenite | brown agate | brown stone | brown-yellow inks from two stone | carnelian | ceramic or stone | chinese jade | diamond | emerald | emerald quartz | faceted glass stone | faceted stone | faux stone | flint | garnet | gemstone | glass jet | glass stone | green gravel | green stone | green-brown stone | greenish black stone | grey stone | hardstones including agate | imitation aquamarine | imitation jade | imitation jet | incised green stone | indian jade | jade | jade or jadeite | jadeite | jasper | jet | lapis lazuli | malachite | marble dust | marcasite | matte garnet | medium brown stone | meerschaum | molded plastic stone | moonstone | moss agate | natural emerald | nephrite | nephrite jade | new stone | onyx | opal | other stone | painted stone | pale green stone | paste stone | pea gravel | polished jasper | pyrite | quartz | red stone | reddish uncut stone | roman stone | rose diamond | ruby | sapphire | sardonyx | semi-precious stone | serpentine | serpentine or jadeite | serpentine stone | siberian jasper | silicified serpentine | soap stone | spinach jade | stone | stone - jade | stone- flint | synthetic gemstone | tan stone | tint stone | tortoise or jet | travertine stone | turquoise | volcanic stone | weathered basalt stone | yellow-tone stone
yarn/thread	material	532	7	LLM-coined		cord | metal thread | metallic thread | string | thread | twine | yarn
ivory	material	501	11	AAT	300011857	bone or ivory | elephant ivory | gilded ivory | incised dyed ivory | ivory | oil or ivory | painted ivory | sea mammal ivory | tinted ivory | walrus ivory | whale tooth ivory
plastic	material	437	5	AAT	300014570	acetate | celluloid | cellulose nitrate | plastic | synthetic
